Ref,Qty,Part,Manufacturer,MPN,Price(USD),Role,Notes
U1,1,ESP32-S3-WROOM-1-N8,Espressif,ESP32-S3-WROOM-1-N8,3.20,SoC,8 MB flash 240 MHz
U2,1,MP3V5004G,NXP,MP3V5004G,5.50,Breath pressure sensor,0..3.0 kPa differential
U3,1,ICM-42688-P,TDK InvenSense,ICM-42688-P,4.10,6-axis IMU,SPI 8 MHz
U4,1,PCM5102A,Texas Instruments,PCM5102A,2.80,I2S stereo DAC,32-bit 384 kHz capable
U5,1,MAX98357A,Analog Devices,MAX98357AETE+,1.60,Class-D mono amp,3.2 W into 4 Ω
U6,1,SSD1306 OLED 128x64,Solomon Systech,SSD1306,2.20,Display,I2C 0x3C
U7,1,MAX17048,Maxim/Analog Devices,MAX17048G+T10,2.30,LiPo fuel gauge,I2C 0x36
U8,1,TP4056,Nanjing Top Power,TP4056,0.35,LiPo charger,USB-C 280 mA
U9,1,ME6211 LDO 3.3V,Microne,ME6211C33,0.40,3.3V regulator,500 mA LDO
U10,1,ADS1115 (optional),Texas Instruments,ADS1115IDGS,2.50,4-ch I2C ADC,For production analog inputs
FSR,1,FSR-402,Interlink,FSR-402,1.80,Lip/bite force sensor,Ø12 mm
SPK,1,28mm 8Ω mylar speaker,CUI Devices,GF0401M,1.20,On-board speaker,magnetic
J1,1,3.5mm TRS headphone jack,CUI Devices,SJ-3523-SMT,0.40,Headphone out,SMT
J2,1,USB-C 2.0 receptacle,Amphenol,12401548E402A,0.30,USB + charging,2.0
BAT,1,3.7V 800mAh LiPo,Adafruit,3.50,Battery,503049
R1,1,10kΩ 1%,Yageo,RC0603FR-0710KL,0.05,FSR pull-down,
R2,1,100kΩ 1%,Yageo,RC0603FR-07100KL,0.05,Battery divider upper,
R3,1,220kΩ 1%,Yageo,RC0603FR-07220KL,0.05,Battery divider lower,
C1,4,1µF 0603,Murata,GRM188R71C105KA12,0.10,Bypass caps,One per IC
C2,2,10µF 0805,Murata,GRM21BR61A106KE19,0.15,Power bulk cap,
C3,1,0.1µF 0603,Murata,GRM188R71H104KA93,0.05,Breath sensor filter,
C4,1,1µF 0603,Murata,GRM188R71C105KA12,0.05,IMU decoupling,
LED1,1,LED red 0603,Lite-On,LTST-C190KRKT,0.10,Charge indicator,
LED2,1,LED green 0603,Lite-On,LTST-C191TGKT,0.10,Charge complete,
SW1,1,Tactile switch 6x6,C&K,PTS636SK50SMTR,0.20,BOOT / power button,
PCB,1,4-layer PCB FR4,Custom,—,6.00,PCB,50x180mm form factor
,,Total,,,~$38.00,,
