# Name,Reference,Value,Footprint,Quantity,UnitPrice,Category,Manufacturer,MPN,Datasheet
RP2040,U1,RP2040,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,1.50,MCU,Raspberry Pi,RP2040,https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf
W25Q128JVSIQ,U2,W25Q128JVSIQ,Package_SO:SOP-8_3.9x4.9mm_P1.27mm,1,0.80,Flash,Winbond,W25Q128JVSIQ,https://www.winbond.com/resource-files/w25q128jv%20revf%2003272018%20plus.pdf
ICS-43434,U3,ICS-43434-L,Sensor_Audio:ICS-43434_LGA-6,2,1.30,MEMS Microphone,TDK/InvenSense,ICS-43434,https://invensense.tdk.com/products/audio/ics-43434/
SX1262,U5,SX1262,RF_Module:Semtech_SX1262_QFN-24,1,3.80,LoRa Transceiver,Semtech,SX1262,https://www.semtech.com/products/wireless-rf/lora-transceivers/sx1262
L86-Q,U6,L86-Q,RF_GPS:Quectel_L86-Q,1,6.50,GNSS Module,Quectel,L86-Q,https://www.quectel.com/product/l86-q/
BME280,U7,BME280,Sensor:BME280_LGA-8,1,2.20,Env Sensor,Bosch,BME280,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds001.pdf
SSD1306,U8,SSD1306_128x64,Display:SSD1306_128x64_OLED_Module,1,1.50,OLED Display,Solomon Systech,SSD1306,https://cdn-shop.adafruit.com/datasheets/SSD1306.pdf
MCP73871,U9,MCP73871,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm,1,1.20,Battery Charger,Microchip,MCP73871,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP73871-Data-Sheet-20002467A.pdf
RT9013-3.3,U10,RT9013-3.3,Package_TO_SOT_SMD:SOT-23-5,1,0.25,LDO,Richtek,RT9013,https://www.richtek.com/assets/product_file/RT9013/DS9013-08.pdf
microSD,J2,MicroSD_Card_Slot,Connector_Card:microSD_Molex_504077,1,0.60,Connector,Molex,5040771891,https://www.molex.com/molex/products/datasheet.jsp?part=active/5040771891_CARD_EDGE.xml
USB-C,J1,USB-C_16pin,Connector_USB:USB_C_Receptacle_16pin_SMD,1,0.35,Connector,Generic,USB-C-16pin-SMD,
SMA,J3,SMA_Edge_Mount,Connector_Coax:SMA_Edge_Mount,1,0.80,Connector,TE,1478214-1,https://www.te.com/commerce/DocumentDelivery/DodeController
WS2812B-2020,D1,WS2812B-2020,LED_SMD:WS2812B-2020,1,0.15,LED,Worldsemi,WS2812B-2020,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf
Crystal,Y1,12MHz,Crystal:Crystal_SMD_3225-4Pin,1,0.20,Crystal,Abracon,ABM8-12.000MHz,https://www.abracon.com/Resonators/ABM8.pdf
LoRa_Antenna,ANT1,868MHz_Whip,Antenna:Whip_868MHz,1,2.00,Antenna,Generic,868MHz-Whip,
Pullup R_SDA,R1,4.7k_0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-074K7L,
Pullup R_SCL,R2,4.7k_0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-074K7L,
Battery_Divider_R1,R5,100k_0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-07100KL,
Battery_Divider_R2,R6,100k_0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-07100KL,
Solar_Divider_R1,R7,200k_0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-07200KL,
Solar_Divider_R2,R8,100k_0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-07100KL,
Decoupling_caps,C1-C12,100nF_0402,Capacitor_SMD:C_0402,12,0.01,Capacitor,Generic,GRM155R71C104KA88D,
Bulk_caps,C13-C14,10uF_0805,Capacitor_SMD:C_0805,2,0.02,Capacitor,Generic,GRM21BR71C106KE15L,
Crystal_load_caps,C15-C16,12pF_0402,Capacitor_SMD:C_0402,2,0.01,Capacitor,Generic,C0402C120J5GACTU,
LiPo_Battery,BAT1,2000mAh_3.7V,Custom_pouch,1,4.50,Battery,Generic,LP803060,https://www.lipobattery.com/pdf/LP803060.pdf
Solar_Panel,PV1,5V_2W,Solar_Panel_5V_2W,1,5.00,Solar,Generic,5V-2W-Solar,
PCB,,80x50mm_4-layer_FR4,Custom,1,2.00,PCB,JLCPCB,,
IP67_Enclosure,CASE1,114x76x40mm,Polycarbonate_IP67,1,3.50,Enclosure,Generic,IP67-114x76x40,
