#,Part,Package,Qty,Unit_USD,Note
1,ESP32-S3-WROOM-1-N8R8,Module,1,3.80,Dual-core 240MHz 8MB PSRAM
2,ICS-43434,LGA-6,2,1.80,MEMS mic I2S -26dBFS
3,MAX98357A,QFN-16,1,1.20,I2S DAC + 3W Class-D amp
4,28mm Speaker 8R 0.5W,Round,1,0.80,Front-firing micro speaker
5,ST7789V 1.3in IPS 240x240,Module,1,2.50,SPI LCD
6,BME280,LGA-8,1,2.00,T/H/P sensor
7,MCP73831-2-OT,SOT-23-5,1,0.40,LiPo charger 500mA
8,AP2112-3.3,SOT-223,1,0.30,LDO 600mA
9,Lipo 800mAh,Pouch,1,3.00,3.7V with protection PCB
10,USB-C 16-pin receptacle,SMD,1,0.35,Power + data
11,WS2812B-2020,2020,1,0.15,Status RGB LED
12,Tactile switch 6x6mm,SMD,3,0.15,Measure/Mode/Power
13,NTC 10k 1%,0402,1,0.05,Battery temperature
14,Resistors/Caps 0402,0402,40,0.60,Pullups decoupling dividers
15,PCB 4-layer 85x54mm,Rect,1,2.00,JLCPCB
