Ref,Qty,Part,Manufacturer,MPN,Package,Description,UnitUSD,TotalUSD
U1,1,ESP32-S3-WROOM-1-N8R8,Espressif,ESP32-S3-WROOM-1-N8R8,PCB module,"Dual-core 240MHz Xtensa LX7, 512KB SRAM, 8MB flash, 8MB PSRAM, Wi-Fi + BLE 5",4.50,4.50
U2,1,SX1262,Semtech,SX1262IMLTRT,QFN-24,"Sub-GHz LoRa transceiver, 150-960MHz, +20dBm, 8dBm without PA",5.80,5.80
U3,1,ICS-43434,TDK/InvenSense,ICS-43434,Bottom-port MEMS,"I2S digital MEMS mic, 50Hz-20kHz, 65dBA SNR, -26dBFS",2.20,2.20
U4,1,ICS-43434,TDK/InvenSense,ICS-43434,Bottom-port MEMS,"I2S digital MEMS mic #2 (same as U3)",2.20,2.20
U5,1,SHT40,Sensirion,SHT40-021-2.5,SMD 2.5x2.5,"I2C T/RH sensor, +/-0.2C, +/-1.8%RH",1.80,1.80
U6,1,TSL2591,AMS/ams-OSRAM,TSL2591FNFN,SMD 6-pin,"I2C ambient light, 0.1-40000 lux, IR+visible",3.20,3.20
U7,1,MAX17048,Maxim/Analog,MAX17048G+T10,SOT-23-8,"I2C Li-ion fuel gauge, ModelGauge",2.10,2.10
U8,1,MCP73871,Microchip,MCP73871-2AAI/MS,TSSOP-20,"Solar Li-ion charger, 500mA, load sharing, MPPT-like",2.40,2.40
U9,1,TPS63020,Texas Instruments,TPS63020DSJR,VQFN-14,"2A buck-boost 1.8-5.5V to 3.3V",4.20,4.20
U10,1,DRV8601,Texas Instruments,DRV8601DRCR,WSON-6,"Brushed motor driver for fan, PWM, soft-start",1.10,1.10
Q1,1,AO3400A,Alpha & Omega,AO3400A,SOT-23,"N-MOSFET for UV LED + fan gate driver, 30V 5.8A",0.15,0.15
Q2,1,AO3400A,Alpha & Omega,AO3400A,SOT-23,"N-MOSFET #2 (fan driver alternate)",0.15,0.15
LED1,3,395nm UV LED,Luminus,FS4050-395N,5050 SMD,"395nm UV LED 100mA each, for insect lure",0.40,1.20
LED2,1,Green LED,Kingbright,APT2012SGC,0805,"Status LED green (LoRa OK)",0.12,0.12
LED3,1,Red LED,Kingbright,APT2012SRCPRV,0805,"Status LED red (pest detected)",0.12,0.12
LED4,1,Amber LED,Kingbright,APT2012SYCK,0805,"Status LED amber (charging)",0.12,0.12
FAN1,1,30mm blower fan,Delta Electronics,ASB0305HH-CC-5V,30x30x10mm,"5V brushless blower, 0.15A, 2m3/h airflow",3.50,3.50
SOL1,1,2W solar panel,Anylite Technology,AL-2W-6V,100x80mm,"2W 6V monocrystalline solar panel outdoor-rated",4.50,4.50
BAT1,1,18650 Li-ion,Panasonic,NCR18650B,18650 cell,"18650 Li-ion 3500mAh protected cell",5.50,5.50
BAT2,1,Battery holder,Keystone,1042,PCB holder,"18650 PCB mount battery holder",0.80,0.80
J1,1,USB-C connector,Amphenol,12401548E4022,SMD USB-C 16-pin,"USB-C for programming + debug",1.20,1.20
J2,1,SWD/Debug header,Pin header 2x3 1.27mm,2.54mm,"ESP32 debug header (optional, USB-JTAG suffices)",0.30,0.30
SW1,1,Program button,ALPS,SKQGAFE010,Tactile 6x6mm,"Program/provision button",0.30,0.30
SW2,1,Mode button,ALPS,SKQGAFE010,Tactile 6x6mm,"Mode button",0.30,0.30
Y1,1,40 MHz XTAL,Abracon,ABM8-40.000MHZ,3225 SMD,"40 MHz crystal for ESP32-S3 (on module already)",0.00,0.00
ANT1,1,915MHz LoRa antenna,Pulse Electronics,W3003B0100,PCB trace or whip,"915MHz PCB trace antenna or stubby whip",2.00,2.00
OLED1,1,SSD1306 OLED,Solomon SSD1306,SSD1306-128x64-SPI,PCB module,"128x64 OLED for setup/diagnostics (optional)",5.50,5.50
R1,2,4.7k,Yageo,RC0805FR-074K7L,0805,"I2C pull-up 4.7k (SDA, SCL)",0.02,0.04
R2,2,100k,Yageo,RC0805FR-07100KL,0805,"Battery voltage divider (1:3)",0.02,0.04
R3,2,47k,Yageo,RC0805FR-0747KL,0805,"Solar voltage divider (1:4)",0.02,0.04
R4,1,33,Yageo,RC0805FR-0733RL,0805,"UV LED current-limit (100mA at 3.3V)",0.02,0.02
R5,5,10k,Yageo,RC0805FR-0710KL,0805,"Pull-ups for buttons, busy line",0.02,0.10
C1,5,100nF,Murata,GRM188R71H104KA93,0603,"0.1uF bypass caps (VDD decoupling)",0.02,0.10
C2,2,10uF,Murata,GRM188R60J106ME47,0603,"10uF bulk decoupling for VDD",0.08,0.16
C3,2,22uF,Murata,GRM188R60J226ME06,0603,"TPS63020 output bulk (3.3V)",0.12,0.24
C4,1,4.7uF,Murata,GRM188R60J475KA19,0603,"MCP73871 input filter",0.06,0.06
C5,1,10uF 25V,TDK,GRM21BR61E106KA73,0805,"Solar panel input filter",0.12,0.12
C6,2,1uF,Murata,GRM188R71C105KA93,0603,"SX1262 VDD filter + MCU analog filter",0.05,0.10
C7,1,100pF,Murata,GRM1885C1H101JA01,0603 C0G,"SX1262 TXCO filter",0.02,0.02
C8,1,22pF,Murata,GRM1885C1H220JA01,0603 C0G,"I2S mic high-freq filter (optional)",0.02,0.02
L1,1,2.2uH,Coilcraft,XAL4040-2R2MEC,4040 SMD,"2.2uH inductor for TPS63020",0.70,0.70
L2,1,4.7uH,Coilcraft,XAL4040-472MEC,4040 SMD,"4.7uH inductor for MCP73871 buck",0.80,0.80
MISC,1,PCB fabrication,JLCPCB,4-layer ENIG PCB,PCB,"4-layer 1oz copper PCB, ENIG finish",6.00,6.00
MISC,1,Enclosure,Generic,IP65 ABS box 120x80x55,Custom,"IP65 UV-stabilized ABS enclosure",3.50,3.50
MISC,1,Hydrophobic mesh,Gore,Acoustic vent,Custom,"Gore-Tex acoustic vent for mic ports",1.20,1.20
MISC,1,Intake funnel,3D printed,PLA matte black,Custom,"3D printed funnel + UV lure housing",0.50,0.50
MISC,1,Collection vial,Generic,15mL centrifuge tube,Custom,"Removable mesh collection vial",0.30,0.30
TOTAL,,,,,,,63.18
