Ref,Designator,Value,Footprint,Qty,Unit USD,Total USD,Note,Source
U1,STM32G474RET6,STM32G474RET6,LQFP-64_10x10mm_P0.5mm,1,6.40,6.40,SoC ARM Cortex-M4F 170MHz CORDIC FMAC HRTIM,Mouser
U2,TP4056,TP4056,SOP-8,1,0.45,0.45,Li-ion charger,LCSC
U3,MCP1640B,MCP1640B,SOT-23-5,1,1.10,1.10,3.7V→5V boost,LCSC
U4,MC34063A,MC34063A,SO-8,1,0.35,0.35,Boost converter for CW HV stage oscillator,LCSC
U5,AP2112-3.3,AP2112-3.3,SOT-23-5,1,0.30,0.30,3.3V digital LDO,LCSC
U6,LP5907-3.3,LP5907-3.3,SOT-23-5,1,1.20,1.20,Ultra-low-noise 3.3V analog LDO,Mouser
U7,REF3030,REF3030,SOT-23-3,1,1.80,1.80,3.0V 0.2% VREF,Mouser
U8,AD8629,AD8629,SO-8,1,2.40,2.40,Zero-drift op-amp for HV current monitor,Analog Devices
U9,TLV3201,TLV3201,SOT-23-6,1,0.80,0.80,HW current-limit comparator (250µA trip),TI
U10,OPA656,OPA656,SO-8,1,5.20,5.20,Low-noise JFET op-amp 500MHz GBW for C4D preamp,TI
U11,BPF 90-110kHz,4th-order Bessel 90-110kHz,SOIC-8,1,1.50,1.50,Analog band-pass for C4D carrier,LCSC
U12_disp,SH1106 OLED,SH1106 1.3" 128x64 I2C,Module,1,2.80,2.80,OLED display,LCSC
U13,ESP32-C3-MINI-1,ESP32-C3-MINI-1,Module,1,2.70,2.70,BLE/WiFi bridge,LCSC
U14,W25Q128JVSIQ,W25Q128,SOIC-8,1,1.10,1.10,16 MB SPI flash (electropherogram buffer),LCSC
U15,DS18B20,DS18B20,TO-92,1,1.20,1.20,BGE temperature 1-Wire,Adafruit
U16,DRV8833,DRV8833,HTSSOP-16,1,1.80,1.80,NEMA8 stepper driver (vial lift),LCSC
U17,DRV8833,DRV8833,HTSSOP-16,1,1.80,1.80,Peristaltic pump driver,LCSC
D10-D14,CW diodes,US1M 1kV,D_SMA,5,0.15,0.75,Cockcroft-Walton multiplier diodes,LCSC
C20-C23,CW caps,1n 3kV,C_1206,4,0.25,1.00,Cockcroft-Walton multiplier caps,LCSC
R20,HV divider top,100M 1%,R_1206,1,0.80,0.80,HV 10000:1 divider top (100M),Mouser
R21,HV divider bot,10k 1%,R_0603,1,0.02,0.02,HV 10000:1 divider bottom (10k),LCSC
R22,HV bleeder,1G 5% 3kV,R_Axial,1,1.20,1.20,HV bleeder resistor (30kV→0 in <1s),Mouser
R23,HV sense,100 1%,R_0603,1,0.02,0.02,HV current sense resistor,LCSC
R30-R31,OPA656 feedback,1M 1%,R_0603,2,0.02,0.04,C4D preamp transimpedance feedback,LCSC
C30,C4D coupling,1n C0G,C_0603,1,0.05,0.05,C4D AC coupling cap,LCSC
E1,C4D driver electrode,Cu tube 2mm,Custom,1,0.50,0.50,Copper tube electrode (C4D driver),Local
E2,C4D pickup electrode,Cu tube 2mm,Custom,1,0.50,0.50,Copper tube electrode (C4D pickup),Local
CAP1,Fused silica capillary,50µm ID 365µm OD ×25cm,Custom,1,3.50,3.50,Fused silica capillary with detection window,Polymicro/TSI
CAP2,Pt wire electrodes,Pt wire 0.5mm ×10mm,Custom,2,0.80,1.60,Platinum electrodes for inlet/outlet vials,Sigma
M1,NEMA8 stepper,NEMA8 12V 200 steps/rev,Custom,1,4.00,4.00,Vial lift stepper for hydrodynamic injection,Amazon
M2,Peristaltic pump,6V DC geared peristaltic,Custom,1,3.50,3.50,Capillary flush pump,Amazon
VIAL1,Inlet vial,1.5mL microcentrifuge tube,Standard,5,0.10,0.50,Inlet/sample vials,Amazon
VIAL2,Outlet vial,1.5mL microcentrifuge tube,Standard,5,0.10,0.50,Outlet/BGE vials,Amazon
BT1,18650 holder,18650 3.7V 2600mAh,Keystone 1042,1,2.50,2.50,Battery (not in BOM cost),Local
J1,USB-C,USB-C 2.0 receptacle,USB-C 16-pin,1,0.60,0.60,Charge port,LCSC
