Ref,Designator,Value,Footprint,Qty,Unit USD,Total USD,Note,Source
U1,STM32G474RET6,STM32G474RET6,LQFP-64_10x10mm_P0.5mm,1,6.40,6.40,DSP SoC ARM Cortex-M4F 170MHz CORDIC FMAC,Mouser
U2,ESP32-C3-MINI-1,ESP32-C3-MINI-1,Module,1,2.70,2.70,BLE/WiFi bridge SoC,LCSC
U3,ADA4530-1,ADA4530-1,SOIC-8,1,4.80,4.80,Electrometer-grade TIA 10 fA bias current,Analog Devices
U4,ADS122U04,ADS122U04,TSSOP-16,1,3.40,3.40,24-bit delta-sigma ADC (aux high-res path),Texas Instruments
U5,REF3030,REF3030,SOT-23-3,1,1.80,1.80,3.0V 0.2% VREF for electrometer,Analog Devices
U6,EMCO F50CT,EMCO F50CT,Module,1,8.50,8.50,5V->5kV HV DC-DC converter (drift stack),EMCO/XP
U7,TP4056,TP4056,SOP-8,1,0.45,0.45,Li-ion USB-C charger,LCSC
U8,MCP1640B,MCP1640B,SOT-23-5,1,1.10,1.10,3.7V->5V boost (pump + analog rail),Microchip
U9,AP2112K-3.3,AP2112K-3.3,SOT-23-5,1,0.30,0.30,Digital 3V3 LDO,LCSC
U10,LP5907-3.3,LP5907-3.3,SOT-23-5,1,1.20,1.20,Ultra-low-noise 3V3 LDO (TIA + VREF),Texas Instruments
U11,SH1106 OLED,SH1106 1.3in 128x64 I2C,Module,1,2.80,2.80,OLED display,LCSC
U12,BME280,BME280,LGA-8,1,2.50,2.50,Ambient T/P/H for K0 normalization,Bosch/LCSC
U13,DS18B20,DS18B20,TO-92,1,1.20,1.20,Drift tube wall temperature (1-Wire),Adafruit
U14,W25Q128JVSIQ,W25Q128,SOIC-8,1,1.10,1.10,16 MB SPI flash (raw waveform buffer),LCSC
U15,TLV3201,TLV3201,SOT-23-5,1,1.40,1.40,HV over-current comparator (safety),Texas Instruments
Q1,HV MOSFET,IRFZ44N,TO-220,1,0.60,0.60,HV rail switching,Fairchild
Q2,Corona driver,2N7002,SOT-23,1,0.10,0.10,Corona discharge needle driver (alt to Ni-63),LCSC
SRC1,Ni-63 source,Ni-63 37kBq sealed foil,Custom,1,8.00,8.00,Ionizer (exempt qty sealed source) — optional,NEB/Specialty
ALT1,Corona needle,Tungsten needle 0.5mm,Custom,1,0.50,0.50,Non-radioactive ionizer alternative,Local
PUMP1,Micro-pump,6V diaphragm micro-pump,Custom,1,3.80,3.80,Drift gas flow,Amazon
VALVE1,2-way valve,6V 2-way solenoid valve,Custom,1,0.90,0.90,Drift gas / sample routing,Amazon
MEMB1,PDMS membrane,PDMS 20um film,Custom,1,0.30,0.30,Semipermeable sample inlet,Sigma
TUBE1,Drift tube,PTFE tube 8.5cm ID 12mm,Custom,1,1.50,1.50,Drift tube body + SS resistor rings,Local
SHUTTER1,Bradbury-Nielsen grid,Interleaved wire grid on PCB,Custom,1,0.50,0.50,Ion shutter (2x wire sets),Local
FARADAY1,Faraday plate,Cu pad on PCB 8mm dia,Custom,1,0.20,0.20,Ion collector plate,Local
BT1,18650 holder,Keystone 1042,Module,1,2.50,2.50,18650 holder (battery not in cost),Local
J1,USB-C,USB-C 2.0 receptacle,USB-C 16-pin,1,0.60,0.60,Charge port,LCSC
J2,MicroSD,MicroSD socket push-push,MMCX,1,1.10,1.10,SD card slot,LCSC
SW1,EC11 encoder,EC11,EC11,1,1.20,1.20,Rotary nav,LCSC
SW2,Mode button,TS-1187A,TACT-6x6,1,0.15,0.15,Mode,LCSC
SW3,Scan button,TS-1187A,TACT-6x6,1,0.15,0.15,Scan trigger,LCSC
SW4,Cal button,TS-1187A,TACT-6x6,1,0.15,0.15,Calibration,LCSC
D1,WS2812B,WS2812B,LED-5050,1,0.20,0.20,RGB status LED,LCSC
BUZ1,Piezo buzzer,5V magnetic buzzer,PS1240,1,0.30,0.30,Audible verdict feedback,LCSC
R1-R8,HV resistor chain,10M 1% 1kV,R_2512,8,0.10,0.80,Drift tube resistor ring chain (2125V total),Mouser
R9,HV divider,1000M 1%,R_0805_HV,1,0.30,0.30,5kV->2.5V monitor divider (2000:1),Mouser
R10,HV divider,500k 1%,R_0603,1,0.05,0.05,Divider bottom leg,LCSC
R11,TIA feedback,1G 1%,R_0805,1,0.30,0.30,Electrometer feedback (1e11 transimpedance),Mouser
R12,TIA feedback,100M 1%,R_0603,1,0.20,0.20,Secondary range,LCSC
R13,Battery divider,100k 1%,R_0603,2,0.02,0.04,Vbat 2:1 divider,LCSC
R14,HV bleeder,10M 2W,Resistor_THT,1,0.40,0.40,HV discharge bleeder,LCSC
R15,Shutter limit,10k 1%,R_0603,1,0.02,0.02,Shutter bias resistor,LCSC
C1-C6,Decoupling 100n,100n X7R,C_0603,6,0.02,0.12,Decoupling,LCSC
C7-C8,Bulk 10u,10u X5R,C_0805,2,0.05,0.10,Bulk decoupling,LCSC
C9,VREF cap,1u X7R,C_0603,1,0.03,0.03,VREF decoupling,LCSC
C10,HV cap,1u 250V,C_1206_250V,1,1.20,1.20,HV reservoir,LCSC
C11,TIA cap,10n C0G,C_0603,1,0.05,0.05,TIA feedback cap (bandwidth limit),LCSC
L1-L2,Ferrite beads,BLM18PG121,FB-0603,2,0.10,0.20,Analog/digital isolation,LCSC
F1,Thermal fuse,250C 1A thermal fuse,THT,1,0.30,0.30,HV overtemp safety,LCSC
REED1,Reed switch,Reed switch NO,Module,1,0.20,0.20,Lid interlock (safety),LCSC
PCB,PCB,4-layer 80x40mm,JLCPCB,1,4.00,4.00,4-layer PCB fab,JLCPCB
MISC,Enclosure,3D-printed PLA,Custom,1,1.50,1.50,Case (optional),Local
,,Total,,,,~$65.00,,
