# Name,Reference,Value,Footprint,Quantity,UnitPrice,Category,Manufacturer,MPN,Datasheet
ESP32-C6-MINI-1,U1,ESP32-C6-MINI-1,RF_Module:ESP32-C6-MINI-1,1,3.20,MCU Module,Espressif,ESP32-C6-MINI-1,https://www.espressif.com/sites/default/files/documentation/esp32-c6-mini-1_datasheet_en.pdf
BME680,U2,BME680,Sensor:BME680_LGA-8,1,2.80,Env Sensor,Bosch,BME680,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme680-ds001.pdf
SGP40,U3,SGP40,Sensor:SGP40_DFN-6,1,1.90,VOC Sensor,Sensirion,SGP40,https://sensirion.com/media/documents/213715E1/63A5A569/Datasheet_SGP40.pdf
SPS30,U4,SPS30,Sensor:SPS30_Custom,1,8.50,PM Sensor,Sensirion,SPS30,https://sensirion.com/media/documents/213715E1/63A5A569/Datasheet_SPS30.pdf
ICM-42688-P,U5,ICM-42688-P,Sensor:ICM-42688-P_LGA-14,1,2.40,IMU,TDK InvenSense,ICM-42688-P,https://invensense.tdk.com/wp-content/uploads/2021/07/DS-000347-ICM-42688-P-datasheet.pdf
TSL2591,U6,TSL2591,Sensor:TSL2591_TMB-6,1,1.20,Light Sensor,AMS,TSR2591,https://ams.com/tsl25911
MAX9814,U7,MAX9814,Amplifier_Audio:MAX9814_DFN-10,1,0.80,Mic Amp,Maxim,MAX9814,https://datasheets.maximintegrated.com/en/ds/MAX9814.pdf
MCP73831,U8,MCP73831-2ACHI,Package_TO_SOT_SMD:SOT-23-5,1,0.40,Battery Charger,Microchip,MCP73831,https://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf
AP2112-3.3,U9,AP2112-3.3,Package_TO_SOT_SMD:SOT-223,1,0.30,LDO,Diodes Inc,AP2112-3.3,https://www.diodes.com/assets/Datasheets/AP2112.pdf
WS2812B-2020,D1,WS2812B-2020,LED_SMD:WS2812B-2020,1,0.15,LED,Worldsemi,WS2812B-2020,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf
USB-C,J1,USB-C 16pin,Connector_USB:USB_C_Receptacle_16pin_SMD,1,0.35,Connector,Generic,USB-C-16pin-SMD,
Lipo Battery,BAT1,120mAh 3.7V,Custom pouch,1,2.50,Battery,Generic,LP501230,https://www.lipobattery.com/pdf/LP501230.pdf
Pullup R_SDA,R1,4.7k 0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-074K7L,
Pullup R_SCL,R2,4.7k 0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-074K7L,
Decoupling caps,C1-C6,100nF 0402,Capacitor_SMD:C_0402,6,0.01,Capacitor,Generic,GRM155R71C104KA88D,
Bulk cap,VDD,C10µF 0805,Capacitor_SMD:C_0805,2,0.02,Capacitor,Generic,GRM21BR71C106KE15L,
Prog resistor,R_PROG,5k 0402,Resistor_SMD:R_0402,1,0.01,Resistor,Generic,RC0402FR-074K7L,
PCB,,35mm round 4-layer FR4,Custom,1,1.50,PCB,JLCPCB,,
