Component,Part,Quantity,Unit Price (USD),Total (USD),Source,Notes
ESP32-S3-WROOM-1,Espressif ESP32-S3-WROOM-1,1,3.00,3.00,LCSC,Dual-core Xtensa LX7 240MHz 512KB SRAM 8MB flash
AD5941,Analog Devices AD5941,1,12.00,12.00,DigiKey,High-precision impedance + amperometry AFE
ADG715,Analog Devices ADG715,1,2.50,2.50,DigiKey,8:1 CMOS analog switch 2.5Ω Ron
BME280,Bosch BME280,1,2.50,2.50,LCSC,Ambient temp/humidity/pressure I2C
SSD1306 OLED,0.96" 128x64 I2C OLED,1,2.00,2.00,LCSC,Monochrome display
microSD Socket,Molex 503398-1892,1,0.30,0.30,LCSC,microSD card slot SPI
TP4056,TP4056 Li-ion charger,1,0.30,0.30,LCSC,USB-C charging
AP2112-3.3,AP2112 LDO 3.3V 600mA,1,0.20,0.20,LCSC,Digital 3.3V rail
ADP7118ARDZ-3.3,ADI ADP7118 ultra-low-noise LDO 3.3V,1,1.50,1.50,DigiKey,Analog 3.3V rail (3.5uV RMS)
LP5907MFX-1.8,TI LP5907 LDO 1.8V 250mA,1,0.80,0.80,DigiKey,AD5941 1.8V digital core
USB-C Connector,Amphenol 12401598E4#2A,1,0.50,0.50,LCSC,USB-C for charging + debug
18650 Battery Holder,Kylin 18650 spring holder,1,0.50,0.50,LCSC,Single 18650 cell
Electrode Probe - Gold,1mm dia 99.99% Au wire 5mm length,1,2.00,2.00,Sigma-Aldrich,Working electrode 1
Electrode Probe - Platinum,1mm dia Pt wire 5mm length,1,3.00,3.00,Sigma-Aldrich,Working electrode 2 + counter ring
Electrode Probe - Ag/AgCl,1mm dia Ag wire AgCl-coated 5mm length,2,1.50,3.00,Sigma-Aldrich,Working electrode 3 + reference
Electrode Probe - Glassy Carbon,1mm dia GC rod 5mm length,1,1.50,1.50,Tokai Carbon,Working electrode 4
Electrode Probe - Copper,1mm dia Cu wire 5mm length,1,0.10,0.10,Local,Working electrode 5
PEEK Probe Body,PEEK rod 8mm dia machined,1,3.00,3.00,McMaster-Carr,Chemically inert probe housing
Probe Cable,4-conductor shielded silicone cable 150mm,1,1.50,1.50,Adafruit,Flexible waterproof probe cable
Tactile Buttons,6x6mm SMD tactile switch,3,0.10,0.30,LCSC,ID/MODE/LIB buttons
RGB LED,0805 common-cathode RGB LED,1,0.20,0.20,LCSC,Status indicator
0.1uF Cap 0805,MLCC X7R 100nF,15,0.01,0.15,LCSC,Decoupling caps
10uF Cap 0805,Tantalum 10uF 16V,5,0.10,0.50,LCSC,Power supply bulk
1uF Cap 0805,X7R 1uF 50V,5,0.05,0.25,LCSC,Analog decoupling
22pF Cap 0805,C0G 22pF 50V,2,0.05,0.10,LCSC,AD5941 crystal load caps
10k Resistor 0805,1% 1/8W,8,0.01,0.08,LCSC,Pull-ups I2C
100k Resistor 0805,1% 1/8W,2,0.01,0.02,LCSC,Battery divider
1M Resistor 0805,1% 1/8W,2,0.01,0.02,LCSC,Battery divider
4.7k Resistor 0805,1% 1/8W,2,0.01,0.02,LCSC,I2C pull-ups
10uH Inductor,SMD power inductor 10uH,1,0.20,0.20,LCSC,AD5941 power filter
26MHz Crystal,Abracon ABM8G-26.000MHz,1,0.30,0.30,LCSC,ESP32-S3 system crystal
32.768kHz Crystal,Abracon ABS07-32.768kHz,1,0.20,0.20,LCSC,ESP32-S3 RTC crystal
PCB,4-layer 110x55mm + probe head,1,5.00,5.00,JLCPCB,Custom PCB fabrication
3D Printed Enclosure,PLA enclosure + probe cap,1,2.00,2.00,Local,3D printed case
M3 Screws,M3x6mm nylon screws,6,0.05,0.30,Local,Assembly
O-ring,8mm ID silicone O-ring,2,0.10,0.20,Local,Probe waterproofing seal
,,Total:,,"$50.97"
