Ref,Qty,Part,Manufacturer,MPN,Package,Unit_USD,Source,Notes
U1,1,RP2040,Raspberry Pi,RP2040,QFN-56,1.00,Mouser,Dual Cortex-M0+ 133MHz 264KB SRAM
U2,1,W25Q16JVSN,Winbond,W25Q16JVSN,SOIC-8,0.30,Digi-Key,2MB external QSPI flash
U3,1,ESP32-C3-WROOM-02,Espressif,ESP32-C3-WROOM-02,module,2.80,Mouser,Wi-Fi + BLE 5.0 companion MCU
U4,1,ADS1115IDGS,Texas Instruments,ADS1115IDGS,VSSOP-10,4.20,Digi-Key,16-bit ADC I2C 860SPS for Hall torque
U5,1,TMC2209 v1.2,Trinamic,TMC2209-Q1,module,3.50,AliExpress,Stepper driver 1/256 microstep StealthChop2
U6,1,DRV8833PW,Texas Instruments,DRV8833PW,TSSOP-16,1.80,Digi-Key,Dual H-bridge for Peltier TEC
U7,1,TPS63020DSJR,Texas Instruments,TPS63020,SON-14,3.90,Digi-Key,3.3V buck-boost 2A
U8,1,TLV70033DDCR,Texas Instruments,TLV70033,SOT-23-5,0.50,Digi-Key,3.3V LDO low-noise sensor rail
U9,1,MCP73831T-2ACI/MC,Microchip,MCP73831,DFN-8,0.60,Digi-Key,USB-C LiPo charger 4.2V 500mA
U10,1,DW01A,Sileic,DW01A,SOT-23-6,0.10,Digi-Key,Battery protection IC
U11,1,FS8205A,Fairchild,FS8205A,SOT-23-6,0.20,Digi-Key,Dual MOSFET for DW01A
U12,1,DRV5053CAQLPGM,Texas Instruments,DRV5053CAQLPGM,SOT-23L,1.20,Digi-Key,Linear Hall sensor analog 25mV/mT (x2 for differential)
U13,1,DRV5053CAQLPGM,Texas Instruments,DRV5053CAQLPGM,SOT-23L,1.20,Digi-Key,Second Hall sensor for reference
U14,1,SH1106 OLED 1.3in,Generic,SH1106-1.3-128x64,PCB,3.50,AliExpress,128x64 monochrome OLED I2C
